Company;Valuation ($B);Date Joined;Country;City;Industry;Investors
DeepL;US$ 2,00;1/11/23;Germany;Cologne;Enterprise Tech;Benchmark, btov Partners, Bessemer Venture Partners
The Bot Company;US$ 2,00;3/22/25;United States;New York;Industrials;
CHAOS Industries;US$ 2,00;5/4/24;United States;Cedar Park;Industrials;Noosphere Ventures, RPM Ventures, SMS Capital Investment
Firefly Aerospace;US$ 2,00;5/4/24;United States;Cedar Park;Industrials;Noosphere Ventures, RPM Ventures, SMS Capital Investment
Babel Finance;US$ 2,00;5/25/22;Hong Kong;Hong Kong;Financial Services;Dragonfly Capital, BAI Capital, 10T Fund
Pennylane;US$ 2,16;2/8/24;France;Cherbourg-Octeville;Enterprise Tech;Sequoia Capital
Trendy Group International;US$ 2,00;2/13/12;Hong Kong;Kowloon;Consumer & Retail;L Capital Partners
GrubMarket;US$ 3,50;9/14/21;United States;San Francisco;Consumer & Retail;GGV Capital, BlackRock, ACE & Company
BeZero;US$ 2,00;11/14/22;United Kingdom;London;Enterprise Tech;Contrarian Ventures, Molten Ventures, Hitachi Ventures 32
Cohere;US$ 2,00;5/2/23;Canada;Toronto;Enterprise Tech;Index Ventures, Salesforce Ventures, Section 32
Cohere;US$ 2,00;5/2/23;Canada;Toronto;Enterprise Tech;Index Ventures, Salesforce Ventures, Section 32
GO1;US$ 2,00;7/19/21;Australia;Brisbane;Enterprise Tech;Y Combinator, M12, SEEK
Clear Street;US$ 2,00;4/29/22;United States;New York;Financial Services;NextGen Venture Partners, Prysm Capital, McLaren Strategic Ventures
Drata;US$ 2,00;11/8/21;United States;San Diego;Enterprise Tech;Cowboy Ventures, Leaders Fund, GGV Capital
Mysten Labs;US$ 2,00;9/8/22;United States;San Francisco;Enterprise Tech;Andreessen Horowitz, Coinbase Ventures, Circle Ventures
Liquid AI;US$ 2,00;12/13/24;United States;Cambridge;Enterprise Tech;OSS Capital, Duke Capital Partners, Samsung NEXT
Avant;US$ 2,00;12/17/12;United States;Chicago;Financial Services;RRE Ventures, Tiger Global, August Capital
Tubatu.com;US$ 2,00;3/9/15;China;Shenzhen;Consumer & Retail;Sequoia Capital China, Matrix Partners China, 58.com
BlaBlaCar;US$ 2,00;9/16/15;France;Paris;Consumer & Retail;Accel Partners, Index Ventures, Insight Venture Partners
HuiMin;US$ 2,00;9/5/16;China;Beijing;Consumer & Retail;Zheshang Venture Capital, GP Capital, Western Capital Management
Preferred Networks;US$ 2,00;5/17/18;Japan;Tokyo;Industrials;Toyota Motor Corporation, Mizuho Financial Group, FANUC
Formlabs;US$ 2,00;8/1/18;United States;Somerville;Industrials;Pitango Venture Capital, DFJ Growth Fund, Foundry Group
Calm;US$ 2,00;2/6/19;United States;San Francisco;Healthcare & Life Sciences;Insight Venture Partners, TPG Growth, Sound Ventures
Kaseya;US$ 2,00;3/27/19;United States;Miami;Enterprise Tech;Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund
Mafengwo;US$ 2,00;5/23/19;China;Beijing;Consumer & Retail;Qiming Venture Partners, Capital Today, General Atlantic
Druva;US$ 2,00;6/20/19;United States;Sunnyvale;Enterprise Tech;Nexus Venture Partners, Tenaya Capital, Sequoia Capital
Kujiale;US$ 2,00;10/25/19;China;Hangzhou;Consumer & Retail;GGV Capital, IDG Capital, Linear Venture
AppsFlyer;US$ 2,00;1/21/20;United States;San Francisco;Enterprise Tech;Magma Venture Partners, Pitango Venture Capital, Qumra Capital
Redis;US$ 2,00;8/25/20;United States;Mountain View;Enterprise Tech;Viola Ventures, Dell Technologies Capital, Bain Capital Ventures
Xingyun Group;US$ 2,00;9/24/20;China;Shenzhen;Consumer & Retail;Matrix Partners China, Eastern Bell Capital, Hongtai Capital Holdings
Unqork;US$ 2,00;10/6/20;United States;New York;Insurance;Blackrock, capitalG, World Lab Innovation
Virta Health;US$ 2,00;12/2/20;United States;San Francisco;Healthcare & Life Sciences;Caffeinated Capital, Obvious Ventures, Venrock
ISN;US$ 2,00;12/17/20;United States;Dallas;Industrials;Blackstone
Clearco;US$ 2,00;4/20/21;Canada;Toronto;Financial Services;Highland Capital Partners, Oak HC/FT Partners, Emergence Capital Partners
Hive;US$ 2,00;4/21/21;United States;San Francisco;Enterprise Tech;Tomales Bay Capital, Bain & Company, General Catalyst
Kry;US$ 2,00;4/27/21;Sweden;Stockholm;Healthcare & Life Sciences;Index Ventures, Creandum, Accel
Kajabi;US$ 2,00;5/4/21;United States;Irvine;Media & Entertainment;Meritech Capital Partners, Tiger Global Management, Spectrum Equity
Ethos;US$ 2,70;5/11/21;United States;San Francisco;Insurance;Sequoia Capital, Google Ventures, Accel
PayFit;US$ 2,10;1/6/22;United Kingdom;London;Enterprise Tech;Accel, frst, Kima Ventures
Beisen;US$ 2,00;5/11/21;China;Beijing;Enterprise Tech;Matrix Partners China, Sequoia Capital China, Genesis Capital
Pipe;US$ 2,00;5/19/21;United States;Miami;Financial Services;next47, MaC Venture Capital, FinVC
Iterable;US$ 2,00;6/15/21;United States;San Francisco;Enterprise Tech;CRV, Blue Cloud Ventures, Index Ventures
Astronergy;US$ 1,82;7/25/23;China;Haining;Industrials;
Lovable;US$ 1,80;7/17/25;United States;Dover;Enterprise Tech;Accel, Hummingbird Ventures
Bunq;US$ 1,80;6/18/21;Netherlands;Amsterdam;Financial Services;Undisclosed
Neko Health;US$ 1,80;1/23/25;Sweden;Stockholm;Healthcare & Life Sciences;Lightspeed Venture Partners, General Catalyst
Quest Global;US$ 1,80;8/8/23;;Singapore;Industrials;
Clip;US$ 2,00;6/10/21;Mexico;Mexico City;Financial Services;Alta Ventures Mexico, General Atlantic, SoftBank Group
Loggi;US$ 2,00;6/5/19;Brazil;Sao Paulo;Industrials;Qualcomm Ventures, SoftBank Group. Monashees+
MURAL;US$ 2,00;7/20/21;United States;San Francisco;Enterprise Tech;Insight Partners, Tiger Global Management, Gradient Ventures
OCSiAl;US$ 2,00;3/4/19;Luxembourg;Leudelange;Industrials;A&NN, Rusnano
Apeel Sciences;US$ 2,00;5/26/20;United States;Goleta;Consumer & Retail;Upfront Ventures, Tao Capital Partners, Andreessen Horowitz
Opay;US$ 2,00;8/23/21;Nigeria;Lagos;Financial Services;Sequoia Capital China, Source Code Capital, Redpoint Ventures China
Aviatrix;US$ 2,00;9/8/21;United States;Santa Clara;Enterprise Tech;Ignition Partners, Formation 8, CRV
SmartNews;US$ 2,00;8/5/19;Japan;Tokyo;Media & Entertainment;Japan Post Capital, Globis Capital Partners, Atomico
Misfits Market;US$ 2,00;4/21/21;United States;Pennsauken;Consumer & Retail;Accel, D1 Capita Partners, Greenoaks Capital Management
Advance Intelligence Group;US$ 2,00;9/23/21;Singapore;;Financial Services;Vision Plus Capital, GSR Ventures, ZhenFund
Modern Treasury;US$ 2,00;10/6/21;United States;San Francisco;Financial Services;Benchmark, Altimeter Capital, Quiet Capital
Magic Leap;US$ 2,00;10/21/14;United States;Plantation;Enterprise Tech;Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz
ClickHouse;US$ 2,00;10/28/21;United States;Portola Valley;Enterprise Tech;Lightspeed Venture Partners, Almaz Capital Partners, Altimeter Capital
Everlaw;US$ 2,00;3/10/20;United States;Oakland;Enterprise Tech;K9 Ventures, Menlo Ventures, Andreessen Horowitz
Zilch;US$ 2,00;11/10/21;United Kingdom;London;Financial Services;Gauss Ventures, Ventura Capital, dmg ventures
VerbIT;US$ 2,00;6/8/21;United States;New York;Enterprise Tech;ClalTech, Vertex Ventures, Oryzn Capital
StarkWare;US$ 8,00;11/17/21;Israel;Netanya;Enterprise Tech;Sequoia Capital, Paradigm, Pantera Capital
Netlify;US$ 2,00;11/17/21;United States;San Francisco;Enterprise Tech;Andreessen Horowitz, Kleiner Perkins Caufield & Byers, EQT Ventures
LTK;US$ 2,00;11/22/21;United States;Dallas;Media & Entertainment;SoftBank Group, Maverick Capital
Trax;US$ 2,00;7/22/19;Singapore;;Consumer & Retail;Hopu Investment Management, Boyu Capital, DC Thomson Ventures
Exotec;US$ 2,00;1/17/22;France;Croix;Industrials;Breega Capital, Iris Capital, 360 Capital Partners
Dremio;US$ 2,00;1/6/21;United States;Santa Clara;Enterprise Tech;Lightspeed Venture Partners, Redpoint Ventures, Norwest Venture Partners
Akulaku;US$ 2,00;2/15/22;Indonesia;Jakarta;Financial Services;DCM Ventures, IDG Capital, Siam Commercial Bank
Cloudinary;US$ 2,00;2/15/22;United States;Santa Clara;Media & Entertainment;Blackstone, Bessemer Venture Partners
Lunar;US$ 2,00;7/12/21;Denmark;Aarhus;Financial Services;SEED Capital, Greyhound Capital, Socii Capital
UpGrad;US$ 2,25;8/9/21;India;Mumbai;Consumer & Retail;Qualcomm Ventures, Accel, Canaan Partners
Salsify;US$ 2,00;4/13/22;United States;Boston;Consumer & Retail;Matrix Partners, North Bridge Venture Partners, Venrock
CertiK;US$ 2,00;3/31/22;United States;New York;Enterprise Tech;Tiger Global Management, Lightspeed Venture Partners, Hillhouse Capital Management
ROX Motor;US$ 2,00;4/29/22;China;Shanghai;Industrials;Sequoia Capital China, IDG Capital, Qiming Venture Partners
Devo Technology;US$ 2,00;10/26/21;United States;Cambridge;Enterprise Tech;Insight Partners, Kibo Ventures, Bessemer Venture Partners
ShiftKey;US$ 2,00;1/11/23;United States;Dallas;Healthcare & Life Sciences;Health Velocity Capital
Rimac Automobili;US$ 2,00;6/1/22;Croatia;Sveta Nedelja;Industrials;Porsche, InvestIndustrial, SoftBank Group
Geek+;US$ 2,00;11/21/18;China;Beijing;Industrials;Volcanics Ventures, Vertex Ventures China, Warburg Pincus
Solugen;US$ 2,00;9/10/21;United States;Houston;Industrials;Fifty Years Fund, Refactor Capital, Temasek
ZigBang;US$ 1,93;6/7/22;South Korea;Seoul;Financial Services;Black Pearl Ventures, Stonebridge Ventures, Yuanta Investment Korea
SemiDrive;US$ 1,93;7/14/24;China;Nanjing;Industrials;Vinno Capital, Shanghai STVC Group, Guozhong Venture Capital Management
Ankorstore;US$ 1,98;1/10/22;France;Paris;Consumer & Retail;Global Founders Capital, Aglae Ventures, Alven Capital
Writer;US$ 1,90;11/12/24;United States;San Francisco;Enterprise Tech;Aspect Ventures, Upfront Ventures, Balderton Capital
eDaili;US$ 1,90;2/1/19;China;Shanghai;Financial Services;K2VC, Lightspeed China Partners, Sky9 Capital
commercetools;US$ 1,90;9/13/21;Germany;Munich;Enterprise Tech;High-Tech Grunderfonds, Bayern Kapital, Accel
MX;US$ 1,90;1/13/21;United States;Lehi;Financial Services;Point72 Ventures, Pelion Venture Partners, Commerce Ventures
CoinSwitch;US$ 1,90;10/6/21;India;Bangalore;Financial Services;Tiger Global Management, Sequoia Capital India, Ribbit Capital
Acorns;US$ 1,90;3/9/22;United States;Irvine;Financial Services;e.ventures, Bain Capital Ventures, Greycroft
Fever;US$ 1,96;1/26/22;United States;New York;Media & Entertainment;Accel, 14W, GS Growth
Roofstock;US$ 1,94;3/10/22;United States;Oakland;Financial Services;Khosla Ventures, Bain Capital Ventures, Lightspeed Venture Partners
thatgamecompany;US$ 1,94;3/3/22;United States;Los Angeles;Media & Entertainment;Benchmark, Sequoia Capital, TPG Capital
ConcertAI;US$ 1,90;3/29/22;United States;Boston;Healthcare & Life Sciences;Sixth Street Partners, Declaration Partners, Maverick Ventures Israel
Material Bank;US$ 1,90;5/6/22;United States;Boca Raton;Industrials;Bain Capital Ventures, SoftBank Group, Fifth Wall Ventures
OLIPOP;US$ 1,85;2/12/25;United States;Oakland;Consumer & Retail;Rocana Venture Partners
ENOVATE;US$ 1,85;4/15/19;China;Shanghai;Industrials;Automobile Industry Guidance Fund
MEGAZONE;US$ 1,83;8/16/22;South Korea;Seoul;Enterprise Tech;Salesforce Ventures, ATP Investment, kt investment
CFGI;US$ 1,85;9/15/21;United States;Boston;Financial Services;The Carlyle Group, CVC Capital Partners
ZocDoc;US$ 1,80;8/20/15;United States;New York;Healthcare & Life Sciences;Founders Fund, Khosla Ventures, Goldman Sachs
ID.me;US$ 1,80;3/19/21;United States;McLean;Consumer & Retail;Moonshots Capital, BoxGroup, Blu Venture Investors
Scroll;US$ 1,80;3/14/23;Seychelles;;Financial Services;OKX Ventures, Sequoia Capital China, IOSG
Diamond Foundry;US$ 1,80;3/29/21;United States;San Francisco;Industrials;Fashion Tech Lab, Fidelity Investments, Vast Ventures
Quantexa;US$ 2,60;4/3/23;United Kingdom;London;Enterprise Tech;AlbionVC, Dawn Capital, HSBC Venture Capital
FullStory;US$ 1,80;8/4/21;United States;Atlanta;Enterprise Tech;Google Ventures, Kleiner Perkins Caufield & Byers, Stripes Group
Lightricks;US$ 1,80;7/31/19;Israel;Jerusalem;Media & Entertainment;Viola Ventures, Insight Partners, ClalTech, Goldman Sachs
Opentrons;US$ 1,80;9/23/21;United States;New York;Healthcare & Life Sciences;SOSV, Khosla Ventures, Lerer Hippeau
Kindbody;US$ 1,80;3/2/23;United States;Kindbody;Healthcare & Life Sciences;RRE Ventures, Google Ventures, Bramalea Partners
Slice;US$ 1,80;11/28/21;India;Bengaluru;Financial Services;Gunosy Capital, Blume Ventures, Das Capital
Cambrian BioPharma;US$ 1,79;10/26/21;United States;Brooklyn;Healthcare & Life Sciences;Future Ventures, Apeiron Investment Group, Moore Capital Management
Trulioo;US$ 1,75;6/7/21;Canada;Vancouver;Financial Services;Blumberg Capital, American Express Ventures, BDC Venture Capital
Creditas;US$ 1,75;12/18/20;Brazil;Sao Paulo;Financial Services;Kaszek Ventures, Amadeus Capital Partners, Quona Capital
BitGo;US$ 1,75;8/16/23;United States;Palo Alto;Financial Services;Redpoint Ventures, Craft Ventures, Bridgescale Partners
Spinny;US$ 1,80;11/24/21;India;Gurugram;Industrials;General Catalyst, Eleation Capital, Avenir Growth Capital
Orca Security;US$ 1,80;3/23/21;United States;Portland;Enterprise Tech;YL Ventures, Redpoint Ventures, GGV Capital
Apus Group;US$ 1,73;1/16/15;China;Beijing;Consumer & Retail;Redpoint Ventures, QiMing Venture Partners, Chengwei Capital
Razor;US$ 1,70;11/8/21;Germany;Berlin;Consumer & Retail;Global Founders Capital, 468 Capital, Redalpine Venture Partners
Micro Connect;US$ 1,70;8/2/23;;Hong Kong;Financial Services;HongShan, Horizons Ventures, Lenovo Capital and Incubator Group
DailyPay;US$ 1,70;5/18/21;United States;New York;Financial Services;RPM Ventures, Inspiration Ventures, Carrick Capital Partners
Udaan;US$ 1,80;9/4/18;India;Bengaluru;Consumer & Retail;DST Global, Lightspeed Venture Partners, Microsoft ScaleUp
Harry's;US$ 1,70;2/16/18;United States;New York;Consumer & Retail;Thrive Capital, Tiger Global Management, Temasek
PAX;US$ 1,70;10/22/18;United States;San Francisco;Consumer & Retail;Tao Capital Partners, Global Asset Capital, Tiger Global Management
DispatchHealth;US$ 1,70;3/3/21;United States;Denver;Healthcare & Life Sciences;Alta Partners, Questa Capital, Echo Health Ventures
Pax8;US$ 1,70;4/11/22;United States;Greenwood Village;Enterprise Tech;Liberty Global Ventures, Sageview Capital, Blue Cloud Ventures
Multiverse;US$ 1,70;6/8/22;United Kingdom;London;Enterprise Tech;Lightspeed Venture Partners, Google Ventures, General Catalyst
Front;US$ 1,70;6/28/22;United States;San Francisco;Enterprise Tech;Sequoia Capital, Uncork Capital, Salesforce Ventures
Redesign Health;US$ 1,70;9/13/22;United States;New York;Healthcare & Life Sciences;General Catalyst, Samsung NEXT, CVS Health Partners
Tessera Therapeutics;US$ 1,69;4/19/22;United States;Cambridge;Healthcare & Life Sciences;Altitude Life Science Ventures, SoftBank Group, Alaska Permanent Fund
SafetyCulture;US$ 1,67;5/3/21;Australia;Sydney;Industrials;Blackbird Ventures, IndexVentures, Tiger Global Management
Ascend Elements;US$ 1,67;9/6/23;United States;Westborough;Industrials;At One Ventures, Hitachi Ventures, Trumpf Venture
Uniswap;US$ 1,66;10/13/22;United States;New York;Financial Services;A16z Crypto, Variant Fund, Paradigm
Kredivo Holdings;US$ 1,66;8/15/22;Singapore;;Financial Services;Jungle Ventures, Square Peg Capital, OpenSpace Ventures
Hippocratic AI;US$ 1,64;3/16/21;United States;New York;Healthcare & Life Sciences;Andreessen Horowitz, General Catalyst, NVentures
Pathos;US$ 1,60;5/1/25;United States;Chicago;Healthcare & Life Sciences;New Enterprise Associates
Unite Us;US$ 1,60;1/9/24;United States;Palo Alto;Healthcare & Life Sciences;Insight Partners, Sequoia Capital, Index Ventures
CircleCI;US$ 1,70;5/11/21;United States;San Francisco;Enterprise Tech;Threshold Ventures, Baseline Ventures, Harrison Metal
Wave;US$ 1,70;9/7/21;Senegal;Dakar;Financial Services;Stripe, Founders Fund, Partech Partners
Dragos;US$ 1,70;10/28/21;United States;Hanover;Industrials;DataTribe, Energy Impact Partners, AllegisCyber Capital
Reltio;US$ 1,70;11/4/21;United States;Redwood City;Enterprise Tech;Crosslink Capital, .406 Ventures, Sapphire Ventures
H2O.ai;US$ 1,70;11/7/21;United States;Mountain View;Enterprise Tech;Nexus Venture Partners, Transamerica Ventures, Crane Venture Partners
ZenBusiness;US$ 1,70;11/9/21;United States;Austin;Enterprise Tech;Greycroft, Lerer Hippeau, Geekdom Fund
Carsome;US$ 1,70;7/12/21;Malaysia;Selangor;Industrials;Gobi Partners, 500 Startups, Ondine Capital
Productboard;US$ 1,73;2/2/22;United States;San Francisco;Enterprise Tech;Index Ventures, Kleiner Perkins Caufield & Byers, Bessemer Venture Partners
Spotter;US$ 1,70;2/16/22;United States;Los Angeles;Financial Services;SoftBank Group, Access Industries, Crossbeam Venture Partners
Optimism;US$ 1,65;3/17/22;United States;San Francisco;Enterprise Tech;Paradigm, Huobi Ventures, Andreessen Horowitz
Dexterity;US$ 1,65;10/13/21;United States;Redwood City;Industrials;Lightspeed Venture Partners, Kleiner Perkins
Incredible Health;US$ 1,65;8/17/22;United States;San Francisco;Healthcare & Life Sciences;Obvious Ventures, Andreessen Horowitz, NFX
Modular AI;US$ 1,60;9/24/25;United States;Palo Alto;Enterprise Tech;US Innovative Technology Fund, General Catalyst, Google Ventures
Jusfoun Big Data;US$ 1,62;7/9/18;China;Beijing;Enterprise Tech;Boxin Capital, DT Capital Partners, IDG Capital
FloQast;US$ 1,60;7/21/21;United States;Los Angeles;Financial Services;Polaris Partners, Insight Partners, Norwest Venture Partners
Weka;US$ 1,60;5/15/24;United States;Campbell;Enterprise Tech;Qualcomm Ventures, Hitachi Ventures, MoreTech Ventures
DealShare;US$ 1,70;1/27/22;India;Bengaluru;Consumer & Retail;Alpha Wave Global, Matrix Partners India, Tiger Global Management
Zhubajie;US$ 1,61;6/16/15;China;Chongqing;Enterprise Tech;Cybernaut Growth Fund, IDG Capital
Solaris;US$ 1,60;7/13/21;Germany;Berlin;Financial Services;Yabeo Capital, SBI Investment, Vulcan Capital
Apollo;US$ 1,60;8/29/23;United States;Covina;Enterprise Tech;Nexus Venture Partners, Sequoia Capital, Bain Capital Ventures
Cao Cao Mobility;US$ 1,60;1/17/18;China;Hangzhou;Industrials;People Electrical Appliance Group China, Zhongrong International Trust
cult.fit;US$ 1,60;11/10/21;India;Bengaluru;Healthcare & Life Sciences;Chiratae Ventures, Accel, Kalaari Capital
Clari;US$ 2,60;3/3/21;United States;Sunnyvale;Enterprise Tech;Sequoia Capital, Bain Capital Ventures, enaya Capital
Monte Carlo;US$ 1,60;5/24/22;United States;San Francisco;Enterprise Tech;GGV Capital, Accel, Redpoint Ventures
Cresta;US$ 1,60;3/17/22;United States;San Francisco;Enterprise Tech;Andreessen Horowitz, Greylock Partners, Sequoia Capital
Extend;US$ 1,36;5/18/21;United States;San Francisco;Insurance;GreatPoint Ventures, Meritech Capital Partners, PayPal Ventures
Employment Hero;US$ 1,37;10/18/23;Australia;Sydney;Enterprise Tech;OneVentures, AirTree Ventures, AMP New Ventures
Generate Biomedicines;US$ 1,36;11/18/21;United States;Cambridge;Healthcare & Life Sciences;Altitude Life Science Ventures. T. Rowe Price, Morningside Venture Partners
Cognite;US$ 1,50;5/19/21;Norway;Lysaker;Industrials;Technology Crossover Ventures, Accel, Aker
Chapter;US$ 1,50;4/16/25;United States;New York;Healthcare & Life Sciences;Coatue
Tide;US$ 1,50;9/21/25;United Kingdom;London;Financial Services;TPG
Plata;US$ 1,50;3/12/25;Mexico;Mexico City;Financial Services;Coatue
Altruist;US$ 1,90;4/16/24;United States;Culver City;Financial Services;Venrock, Endeavor, Adams Street Partners
ASAPP;US$ 1,60;5/19/21;United States;New York;Enterprise Tech;March Capital Partners, HOF Capital, Emergence Capital Partners
SmartHR;US$ 1,60;6/8/21;Japan;Tokyo;Enterprise Tech;BEENEXT, World Innovation Lab, Light Street Capital
Mercury;US$ 3,50;7/3/21;United States;San Francisco;Financial Services;Andreessen Horowitz, Coatue Management, Clocktower Technology Ventures
HomeLight;US$ 1,70;9/2/21;United States;San Francisco;Financial Services;Zeev Ventures, Menlo Ventures,Crosslink Capital
ezCater;US$ 1,60;4/2/19;United States;Boston;Consumer & Retail;Insight Venture Partners, ICONIQ Capital, Launchpad Venture Group
Wayflyer;US$ 1,60;2/1/22;Ireland;Dublin;Financial Services;QED Investors, DST Global, Left Lane Capital
Capitolis;US$ 1,60;3/22/22;United States;New York;Financial Services;Sequoia Capital, Index Ventures, S Capital
Magic Eden;US$ 1,60;6/21/22;United States;San Francisco;Media & Entertainment;Sequoia Capital, Lightspeed Venture Partners, Paradigm
Pave;US$ 1,60;6/28/22;United States;San Francisco;Enterprise Tech;Y Combinator, Andreessen Horowitz, Bessemer Venture Partners
Promasidor Holdings;US$ 1,59;11/8/16;South Africa;Bryanston;Consumer & Retail;IFC, Ajinomoto
GalaxySpace;US$ 1,58;11/17/20;China;Beijing;Industrials;Shunwei Capital Partners, 5Y Capital, Legend Capital
Icon;US$ 1,57;2/18/22;United States;Austin;Industrials;Moderne Ventures, Oakhouse Partners, Bjarke Ingels Group
Fresh Life Style Supply Chain Management;US$ 1,57;3/11/22;China;Chengdu;Consumer & Retail;Guiyang Venture Capital, Longfor Capital, CAOGENZHIBEN GROUP
Alloy;US$ 1,55;9/30/21;United States;New York;Financial Services;Bessemer Venture Partners, Eniac Ventures, Canapi Ventures
Huntress;US$ 1,55;6/18/24;United States;Ellicott City;Enterprise Tech;ForgePoint Capital, Sapphire Ventures, Gula Tech Adventures
Iluvatar CoreX;US$ 1,55;3/1/21;China;Shanghai;Enterprise Tech;Centurium Capital, Cedarlake Capital, Unicom Innovation Venture Capital
Wenheyou;US$ 1,55;4/17/21;China;Hunan;Consumer & Retail;Sequoia Capital China, Warburg Pincus, IDG Capital
Kitopi;US$ 1,55;7/1/21;United Arab Emirates;Dubai;Consumer & Retail;CE-Ventures, BECO Capital, Nordstar
Ximalaya FM;US$ 1,52;9/22/17;China;Shanghai;Media & Entertainment;China Creation Ventures, Sierra Ventures, Xingwang Investment Management
Carzone;US$ 1,52;3/1/19;China;Jiangsu;Industrials;Alibaba Group,Co-Stone Venture Capital, Buhuo Venture Capital
Pump;US$ 1,50;3/30/25;Ireland;Limerick;Enterprise Tech;6MV
Anaconda;US$ 1,50;7/31/25;United States;Austin;Enterprise Tech;General Catalyst, Silicon Valley Bank, Morningside Venture Partners
Fal;US$ 1,50;7/31/25;United States;San Fransisco;Enterprise Tech;Andreessen Horowitz, Notable Capital, Meritech Capital Partners
Skild AI;US$ 1,50;7/9/24;United States;Pittsburgh;Industrials;CRV, General Catalyst, Menlo Ventures
You.com;US$ 1,50;9/3/25;United States;Palo Alto;Enterprise Tech;Day One Ventures, Salesforce Ventures, Radical Ventures
Sigma Computing;US$ 1,50;5/16/24;United States;San Francisco;Enterprise Tech;Sutter Hill Ventures, Snowflake Ventures, NewView Capital
OpenWeb;US$ 1,50;11/9/21;United States;New York;Media & Entertainment;Insight Partners, AltaIR Capital, Norma Investments
SpreeAI;US$ 1,50;5/6/25;United States;Incline Village;Consumer & Retail;
Mu Sigma;US$ 1,50;2/7/13;United States;Northbrook;Enterprise Tech;Sequoia Capital, General Atlantic
Kushki;US$ 1,50;6/7/22;Ecuador;Quito;Financial Services;Clocktower Technology Ventures, DILA Capital, Kaszek Ventures
Jasper;US$ 1,50;10/17/22;United States;Austin;Enterprise Tech;Foundation Capital, Institutional Venture Partners, Founders Capital
Orna Therapeutics;US$ 1,50;8/16/22;United States;Cambridge;Healthcare & Life Sciences;MPM Capital, Astellas Venture Management, F2 Ventures
TuJia;US$ 1,50;6/17/15;China;Beijing;Consumer & Retail;GGV Capital, QiMing Venture Partnersl
Mofang Living;US$ 1,50;4/13/16;China;Shanghai;Consumer & Retail;Warburg Pincus, Aviation Industry Corporation of China
DT Dream;US$ 1,50;6/8/17;China;Hangzhou;Enterprise Tech;Alibaba Group, China Everbright Investment Management, Yinxinggu Capital
Changingedu;US$ 1,50;10/30/17;China;Shanghai;Consumer & Retail;Trustbridge Partners, IDG Capital, Sequoia Capital China
XiaoZhu;US$ 1,50;11/1/17;China;Beijing;Consumer & Retail;Morningside Ventures, Capital Today, JOY Capital
JOLLY Information Technology;US$ 1,50;5/29/18;China;Hangzhou;Consumer & Retail;Legend Capital, CDH Investments, Sequoia Capital China
Yijiupi;US$ 1,50;9/20/18;China;Beijing;Consumer & Retail;Source Code Capital, Meituan Dianping, Tencent Holdings
Cambridge Mobile Telematics;US$ 1,50;12/19/18;United States;Cambridge;Insurance;SoftBank Group
Collective Health;US$ 1,50;6/17/19;United States;San Francisco;Healthcare & Life Sciences;New Enterprise Associates, Founders Fund, Google Ventures
Zenoti;US$ 1,50;12/15/20;United States;Bellevue;Consumer & Retail;Norwest Venture Partners, Accel, Tiger Global Management
Uplight;US$ 1,50;3/3/21;United States;Boulder;Industrials;Rubicon Technology Partners, Max Ventures, Inclusive Capital Partners
Snapdocs;US$ 1,50;5/25/21;United States;San Francisco;Financial Services;Sequoia Capital, Y Combinator, F-Prime Capital
Chipper Cash;US$ 2,00;5/31/21;United States;San Francisco;Financial Services;Deciens Capital, Bezos Expeditions, 500 Startups
Ledger;US$ 1,47;6/10/21;France;Paris;Financial Services;Digital Currency Group, Draper Esprit, Korelya Capital
Next Silicon;US$ 1,50;6/14/21;Israel;Tel Aviv;Enterprise Tech;Amiti Ventures, Playground Global, Aleph
YQNlink;US$ 1,50;6/29/21;China;Shanghai;Industrials;Source Code Capital, Coatue Management, DCM Ventures
impact.com;US$ 1,50;7/13/21;United States;Santa Barbara;Enterprise Tech;Redpoint Ventures, Providence Equity Partners, Silversmith Capital Partners
NotCo;US$ 1,50;7/26/21;Chile;Santiago;Consumer & Retail;Kaszek Ventures, SOSV, Tiger Global Management
Culture Amp;US$ 1,50;7/29/21;Australia;Richmond;Enterprise Tech;Felicis Ventures, Index Ventures, Blackbird Ventures
TaxBit;US$ 1,50;8/4/21;United States;Draper;Financial Services;Insight Partners, Coinbase Ventures, PayPal Ventures
Pacaso;US$ 1,50;3/24/21;United States;Cincinnati;Financial Services;Global Founders Capital, Shea Ventures, Greycroft
1047 Games;US$ 1,50;9/14/21;United States;Zephyr Cove;Media & Entertainment;VGames, Lakestar, Galaxy Interactive
Matillion;US$ 1,50;9/15/21;United Kingdom;Altrincham;Enterprise Tech;Scale Venture Partners, Sapphire Ventures, Battery Ventures
Persona;US$ 1,50;9/15/21;United States;San Francisco;Enterprise Tech;Coatue Management, Index Ventures, Founders Fund
Ascend Money;US$ 1,50;9/27/21;Thailand;Bangkok;Financial Services;Ant Group, Charoen Pokphand Group, Bow Wave Capital
Andela;US$ 1,50;9/29/21;United States;New York;Enterprise Tech;Spark Capital, Google Ventures, CRE Venture Capital
Built;US$ 1,50;9/30/21;United States;Nashville;Financial Services;Nyca Partners, Index Ventures, Technology Crossover Ventures
